RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition
C110	TP113,TP106	A5Q20001458/B;1-CAP_CER_ML_100p_+-5%_100V_0603_SMD x 1		A5Q20001458	Capacitor
C112	TP115,TP106	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor
C121	TP127,TP106	A5Q20000555/C;1-CAP_CER_ML_10n_+-10%_50V_0402_SMD x 3		A5Q20000555	Capacitor
C130	TP129,TP106	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor
C140	TP131,TP106	A5Q20000433/A;1-CAP_EL_AL_330u_+-20%_35V_SMD_SMD x 1		A5Q20000433	Capacitor_EL
C142	TP142,TP106	A5Q20000555/C;1-CAP_CER_ML_10n_+-10%_50V_0402_SMD x 3		A5Q20000555	Capacitor
C143	TP148,TP106	A5Q00004724/01;1-CAP_CER CHIP_X7R_1.0UF_10%_16V_0603_SMT x 2		A5Q00004724	Capacitor
C144	TP151,TP106	A5Q20002342/C;1-CAP_CER_ML_2.2u_+-10%_6.3V_0603_SMD x 2		A5Q20002342	Capacitor
C145	TP147,TP106	A5Q20000555/C;1-CAP_CER_ML_10n_+-10%_50V_0402_SMD x 3		A5Q20000555	Capacitor
C146	TP146,TP106	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10		A5Q20003647	Capacitor
C153	TP103,TP106	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10		A5Q20003647	Capacitor
C160	TP104,TP106	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor
C161	TP141,TP106	A5Q20000549/C;1-CAP_CER_ML_470n_+-10%_16V_0603_SMD x 1		A5Q20000549	Capacitor
C162	TP152,TP106	A5Q20003251/D;1-CAP_CER_ML_10u_+-20%_10V_0603_SMD x 2	C162,C163,C166	A5Q20003251	Capacitor
C163	TP152,TP106	A5Q20000247/B;1-CAP_CER_ML_100n_+-10%_16V_0402_SMD x 4	C162,C163,C166	A5Q20000247	Capacitor
C164	TP152,TP106	A5Q20000247/B;1-CAP_CER_ML_100n_+-10%_16V_0402_SMD x 4		A5Q20000247	Capacitor
C165	TP154, TP201	A5Q20000247/B;1-CAP_CER_ML_100n_+-10%_16V_0402_SMD x 4		A5Q20000247	Capacitor
C166	TP152,TP106	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10	C162,C163,C166	A5Q20003647	Capacitor
C167	TP149,TP201	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor
C200	TP203,TP201	A5Q20001714/C;1-CAP_CER_ML_1u_+-10%_100V_1206_SMD x 2		A5Q20001714	Capacitor
C201	TP205,TP201	A5Q20001714/C;1-CAP_CER_ML_1u_+-10%_100V_1206_SMD x 2		A5Q20001714	Capacitor
C204	TP210,TP215	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor
C205	TP208,TP250	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor
C207	TP224,TP250	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8		A5Q00033394	Capacitor
C208	TP231,TP234	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor
C209	TP229,TP250	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor
C212	TP247,TP250	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8		A5Q00033394	Capacitor
C300	TP204,TP201	A5Q20003443/A;1-CAP_EL_AL_100u_+-20%_50V_SMD_SMD x 1		A5Q20003443	Capacitor_EL
C301	TP204,TP201	A5Q00022844/01;1-CAP_CER_CHIP_X7R_1.0UF_10%_50V_0805_SMT x 1		A5Q00022844	Capacitor
C302	TP300,TP201	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10		A5Q20003647	Capacitor
C303	TP309,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8	C303,C305	A5Q00033394	Capacitor
