RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition	FDCIO162	FDCIO164	Designator FDCIO162	Designator FDCIO164	Cell	Height	X_Cor	Y_Cor	Rotation	PlacementSide	Technology	PartListExclude
C110	TP113,TP106	A5Q20001458/B;1-CAP_CER_ML_100p_+-5%_100V_0603_SMD x 1		A5Q20001458	Capacitor			C110	C110	C0603	0.95	16.2	56.1	270	Bottom	SMD	
C112	TP115,TP106	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor			C112,C130,C160,C167,C402,C406,C408	C112,C130,C160,C167,C402,C406,C408	C0402	0.6	17	61.8	90	Bottom	SMD	
C121	TP127,TP106	A5Q20000555/C;1-CAP_CER_ML_10n_+-10%_50V_0402_SMD x 3		A5Q20000555	Capacitor			C121,C142,C145	C121,C142,C145	C0402	0.6	24	49.36	270	Bottom	SMD	
C130	TP129,TP106	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor			C112,C130,C160,C167,C402,C406,C408	C112,C130,C160,C167,C402,C406,C408	C0402	0.6	41.2	50.6	180	Bottom	SMD	
C140	TP131,TP106	A5Q20000433/A;1-CAP_EL_AL_330u_+-20%_35V_SMD_SMD x 1		A5Q20000433	Capacitor_EL			C140	C140	C_AL_G_105105_ALT	10.5	32.1	56.6	270	Top	SMD	
C142	TP142,TP106	A5Q20000555/C;1-CAP_CER_ML_10n_+-10%_50V_0402_SMD x 3		A5Q20000555	Capacitor			C121,C142,C145	C121,C142,C145	C0402	0.6	41.2	49.5	180	Top	SMD	
C143	TP148,TP106	A5Q00004724/01;1-CAP_CER CHIP_X7R_1.0UF_10%_16V_0603_SMT x 2		A5Q00004724	Capacitor			C143,C401	C143,C401	C0603	0.95	37.3	51.8	0	Bottom	SMD	
C144	TP156,TP106	A5Q20002342/C;1-CAP_CER_ML_2.2u_+-10%_6.3V_0603_SMD x 2		A5Q20002342	Capacitor			C144,C403	C144,C403	C0603	0.95	36.6	48.93	90	Top	SMD	
C145	TP147,TP106	A5Q20000555/C;1-CAP_CER_ML_10n_+-10%_50V_0402_SMD x 3		A5Q20000555	Capacitor			C121,C142,C145	C121,C142,C145	C0402	0.6	41.200049	48.3	180	Top	SMD	
C146	TP146,TP106	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10		A5Q20003647	Capacitor			C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C0402	0.6	31.2	55.9	90	Bottom	SMD	
C153	TP103,TP106	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10		A5Q20003647	Capacitor			C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C0402	0.6	19.9	50.3	180	Bottom	SMD	
C160	TP104,TP106	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor			C112,C130,C160,C167,C402,C406,C408	C112,C130,C160,C167,C402,C406,C408	C0402	0.6	49.3	58.6	180	Top	SMD	
C161	TP141,TP106	A5Q20000549/C;1-CAP_CER_ML_470n_+-10%_16V_0603_SMD x 1		A5Q20000549	Capacitor			C161	C161	C0603	0.95	46.4	58.4	0	Top	SMD	
C162	TP152,TP106	A5Q20003251/D;1-CAP_CER_ML_10u_+-20%_10V_0603_SMD x 2	C162,C163,C166	A5Q20003251	Capacitor			C162,C404	C162,C404	C0603	0.95	49.3	55.1	90	Bottom	SMD	
C163	TP152,TP106	A5Q20000247/B;1-CAP_CER_ML_100n_+-10%_16V_0402_SMD x 4	C162,C163,C166	A5Q20000247	Capacitor			C163-C165,C405	C163-C165,C405	C0402	0.6	43.8	57	0	Bottom	SMD	
C164	TP152,TP106	A5Q20000247/B;1-CAP_CER_ML_100n_+-10%_16V_0402_SMD x 4		A5Q20000247	Capacitor			C163-C165,C405	C163-C165,C405	C0402	0.6	47.9	49.4	180	Top	SMD	
C165	TP154, TP201	A5Q20000247/B;1-CAP_CER_ML_100n_+-10%_16V_0402_SMD x 4		A5Q20000247	Capacitor			C163-C165,C405	C163-C165,C405	C0402	0.6	48.3	39.5	270	Top	SMD	
C166	TP152,TP106	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10	C162,C163,C166	A5Q20003647	Capacitor			C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C0402	0.6	41.41	53.2	0	Bottom	SMD	
C167	TP149,TP201	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor			C112,C130,C160,C167,C402,C406,C408	C112,C130,C160,C167,C402,C406,C408	C0402	0.6	46.5	39.5	90	Top	SMD	
C200	TP203,TP201	A5Q20001714/C;1-CAP_CER_ML_1u_+-10%_100V_1206_SMD x 2		A5Q20001714	Capacitor			C200-C201	C200-C201	C1206	1.9	38.8	8.5	90	Bottom	SMD	
C201	TP205,TP201	A5Q20001714/C;1-CAP_CER_ML_1u_+-10%_100V_1206_SMD x 2		A5Q20001714	Capacitor			C200-C201	C200-C201	C1206	1.9	31.34	17.3	0	Bottom	SMD	
C202	TP207,TP209	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor	Unplaced		C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	39.3	35.1	180	Top	SMD	
C203	TP206,TP201	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor	Unplaced		C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	34.4	36.4	0	Top	SMD	
C204	TP210,TP215	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor			C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	19.56	35.1	0	Top	SMD	
C205	TP208,TP201	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor			C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	24.2	36.5	180	Top	SMD	
C206	TP223,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8		A5Q00033394	Capacitor	Unplaced		C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	45.2	39.5	90	Bottom	SMD	
C207	TP224,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8		A5Q00033394	Capacitor			C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	13.4	39.5	90	Bottom	SMD	
C208	TP231,TP234	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor			C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	19.56	32.7	0	Top	SMD	
C209	TP229,TP201	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor			C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	24.2	31.2	180	Top	SMD	
C210	TP232,TP233	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor	Unplaced		C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	39.3	32.7	180	Top	SMD	
C211	TP230,TP201	A5Q00007044/01;1-CAP_CER CHIP_100PF_5%_50V_COG(NPO)_0603 x 8		A5Q00007044	Capacitor	Unplaced		C204-C205,C208-C209	C202-C205,C208-C211	C0603	0.95	34.4	31.2	0	Top	SMD	
C212	TP247,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8		A5Q00033394	Capacitor			C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	13.4	28.3	270	Bottom	SMD	
C213	TP248,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8		A5Q00033394	Capacitor	Unplaced		C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	45.2	28.2	270	Bottom	SMD	
C300	TP204,TP201	A5Q20003443/A;1-CAP_EL_AL_100u_+-20%_50V_SMD_SMD x 1		A5Q20003443	Capacitor_EL			C300	C300	C_AL_F_8585_ALT	10.5	33.6	11.9	90	Top	SMD	
C301	TP204,TP201	A5Q00022844/01;1-CAP_CER_CHIP_X7R_1.0UF_10%_50V_0805_SMT x 1		A5Q00022844	Capacitor			C301	C301	C0805	1.55	34	14.3	180	Bottom	SMD	
C302	TP300,TP201	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10		A5Q20003647	Capacitor			C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C0402	0.6	48.4	16.5	180	Top	SMD	
C303	TP309,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8	C303,C305	A5Q00033394	Capacitor			C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	56.7	68.4	180	Bottom	SMD	
C304	TP309,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8	C304,C306	A5Q00033394	Capacitor			C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	56.7	53.31	180	Bottom	SMD	
C305	TP313,TP201	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10	C303,C305	A5Q20003647	Capacitor			C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C0402	0.6	41.4	16.29	180	Bottom	SMD	
C306	TP314,TP201	A5Q20003647/A02;1-CAP_CER_ML_1n_+-5%_50V_0402_SMD x 10	C304,C306	A5Q20003647	Capacitor			C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C146,C153,C166,C302,C305-C306,C309-C310,C400,C407	C0402	0.6	41.4	17.7	180	Bottom	SMD	
C307	TP323,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8	C307,C309	A5Q00033394	Capacitor	Unplaced		C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	56.7	50.5	180	Bottom	SMD	
C308	TP324,TP201	A5Q00033394/01;1-CAP_CER_ML_100n_+-10%_100V_0805_SMD x 8	C308,C310	A5Q00033394	Capacitor	Unplaced		C207,C212,C303-C304	C206-C207,C212-C213,C303-C304,C307-C308	C0805	1.4	56.9	34.9	180	Bottom	SMD	
